<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
ROSN,D,05/31/13,00:00,211.5000000,8995260
ROSN,D,06/03/13,00:00,210.2000000,9965970
ROSN,D,06/04/13,00:00,210.6100000,4331860
ROSN,D,06/05/13,00:00,208.9000000,4597980
ROSN,D,06/06/13,00:00,208.5500000,5230400
ROSN,D,06/07/13,00:00,215.2200000,6009200
ROSN,D,06/10/13,00:00,216.7700000,6292870
ROSN,D,06/11/13,00:00,208.5000000,6471300
ROSN,D,06/13/13,00:00,208.8000000,7290100
ROSN,D,06/14/13,00:00,210.8700000,5543920
ROSN,D,06/17/13,00:00,215.6500000,6311830
ROSN,D,06/18/13,00:00,218.2000000,5604080
ROSN,D,06/19/13,00:00,219.3700000,3928370
ROSN,D,06/20/13,00:00,220.5300000,17534830
ROSN,D,06/21/13,00:00,222.7500000,19409920
ROSN,D,06/24/13,00:00,227.0000000,14385220
ROSN,D,06/25/13,00:00,231.2600000,8567110
ROSN,D,06/26/13,00:00,228.5000000,9202420
ROSN,D,06/27/13,00:00,222.8700000,7626120
ROSN,D,06/28/13,00:00,227.8000000,15143510
ROSN,D,07/01/13,00:00,229.3800000,2888890
ROSN,D,07/02/13,00:00,227.8900000,4377250
ROSN,D,07/03/13,00:00,229.6700000,3567690
ROSN,D,07/04/13,00:00,230.0300000,2509900
ROSN,D,07/05/13,00:00,228.9600000,4947140
ROSN,D,07/08/13,00:00,233.2900000,3358540
ROSN,D,07/09/13,00:00,232.6600000,3629730
ROSN,D,07/10/13,00:00,233.8900000,3119160
ROSN,D,07/11/13,00:00,239.7000000,8540350
ROSN,D,07/12/13,00:00,247.0900000,7542990
ROSN,D,07/15/13,00:00,247.6300000,3502060
ROSN,D,07/16/13,00:00,245.9800000,4211730
ROSN,D,07/17/13,00:00,248.7200000,7212650
ROSN,D,07/18/13,00:00,244.9700000,6216030
ROSN,D,07/19/13,00:00,243.4500000,4258050
ROSN,D,07/22/13,00:00,243.2500000,2536690
ROSN,D,07/23/13,00:00,243.7300000,2960010
ROSN,D,07/24/13,00:00,242.6500000,2711850
ROSN,D,07/25/13,00:00,240.8200000,2100490
ROSN,D,07/26/13,00:00,240.8700000,2587360
ROSN,D,07/29/13,00:00,239.1000000,2934510
ROSN,D,07/30/13,00:00,236.1000000,3474000
ROSN,D,07/31/13,00:00,234.5000000,5495180
ROSN,D,08/01/13,00:00,238.1800000,4221660
ROSN,D,08/02/13,00:00,237.6000000,3300380
ROSN,D,08/05/13,00:00,238.9100000,2346030
ROSN,D,08/06/13,00:00,233.9000000,3381770
ROSN,D,08/07/13,00:00,231.9400000,3363400
ROSN,D,08/08/13,00:00,228.8800000,3793940
ROSN,D,08/09/13,00:00,233.2500000,3823500
ROSN,D,08/12/13,00:00,234.9600000,2673980
ROSN,D,08/13/13,00:00,237.0000000,4107310
ROSN,D,08/14/13,00:00,237.8800000,3384270
ROSN,D,08/15/13,00:00,232.8200000,4137050
ROSN,D,08/16/13,00:00,230.7600000,4076780
ROSN,D,08/19/13,00:00,230.2600000,2682360
ROSN,D,08/20/13,00:00,227.5000000,4612970
ROSN,D,08/21/13,00:00,229.1000000,8933170
ROSN,D,08/22/13,00:00,234.3900000,8348250
ROSN,D,08/23/13,00:00,234.9900000,10858250
ROSN,D,08/26/13,00:00,235.2000000,2960100
ROSN,D,08/27/13,00:00,234.2700000,12023990
ROSN,D,08/28/13,00:00,238.8800000,9209540
ROSN,D,08/29/13,00:00,243.1100000,6025610
ROSN,D,08/30/13,00:00,246.3300000,11295150
ROSN,D,09/02/13,00:00,244.2200000,3543160
ROSN,D,09/03/13,00:00,245.3900000,3527310
ROSN,D,09/04/13,00:00,249.0200000,6389500
ROSN,D,09/05/13,00:00,259.7500000,12892160
ROSN,D,09/06/13,00:00,263.9800000,13188330
ROSN,D,09/09/13,00:00,263.0000000,12312990
ROSN,D,09/10/13,00:00,258.0100000,13726570
ROSN,D,09/11/13,00:00,255.7500000,6436200
ROSN,D,09/12/13,00:00,258.4700000,7489860
ROSN,D,09/13/13,00:00,258.1200000,6675130
ROSN,D,09/16/13,00:00,263.4900000,10892970
ROSN,D,09/17/13,00:00,265.3900000,5543130
ROSN,D,09/18/13,00:00,262.8100000,8066760
ROSN,D,09/19/13,00:00,265.9800000,10531490
ROSN,D,09/20/13,00:00,262.8000000,5310100
ROSN,D,09/23/13,00:00,262.4500000,8534470
ROSN,D,09/24/13,00:00,259.6700000,7026270
ROSN,D,09/25/13,00:00,262.0500000,6446010
ROSN,D,09/26/13,00:00,263.6800000,4275600
ROSN,D,09/27/13,00:00,265.3000000,9194120
ROSN,D,09/30/13,00:00,263.7100000,7657830
ROSN,D,10/01/13,00:00,263.5000000,6200560
ROSN,D,10/02/13,00:00,260.2500000,5134050
ROSN,D,10/03/13,00:00,260.0500000,5677670
ROSN,D,10/04/13,00:00,262.1900000,4640210
ROSN,D,10/07/13,00:00,262.0900000,3055170
ROSN,D,10/08/13,00:00,264.0000000,6459240
ROSN,D,10/09/13,00:00,262.9800000,5689080
ROSN,D,10/10/13,00:00,265.0000000,5745920
ROSN,D,10/11/13,00:00,265.0900000,12254020
ROSN,D,10/14/13,00:00,265.0200000,5630730
ROSN,D,10/15/13,00:00,265.5000000,6505740
ROSN,D,10/16/13,00:00,261.0200000,8872990
ROSN,D,10/17/13,00:00,256.8700000,7830560
ROSN,D,10/18/13,00:00,260.9600000,6764100
ROSN,D,10/21/13,00:00,259.5900000,6070500
ROSN,D,10/22/13,00:00,260.0100000,6042960
ROSN,D,10/23/13,00:00,254.4600000,10420810
ROSN,D,10/24/13,00:00,251.5000000,11539060
ROSN,D,10/25/13,00:00,252.2000000,6050380
ROSN,D,10/28/13,00:00,253.8400000,5021890
ROSN,D,10/29/13,00:00,253.6100000,14399730
ROSN,D,10/30/13,00:00,250.0000000,8039330
ROSN,D,10/31/13,00:00,254.0000000,9751180
ROSN,D,11/01/13,00:00,251.9800000,7578460
ROSN,D,11/05/13,00:00,249.3300000,4962910
ROSN,D,11/06/13,00:00,249.0000000,10179240
ROSN,D,11/07/13,00:00,248.7500000,8049030
ROSN,D,11/08/13,00:00,245.9200000,8042230
ROSN,D,11/11/13,00:00,244.0000000,5507810
ROSN,D,11/12/13,00:00,247.5400000,6337370
ROSN,D,11/13/13,00:00,244.3500000,6217740
ROSN,D,11/14/13,00:00,245.7600000,4730580
ROSN,D,11/15/13,00:00,244.2000000,6131120
ROSN,D,11/18/13,00:00,244.9200000,6839020
ROSN,D,11/19/13,00:00,244.9000000,7025430
ROSN,D,11/20/13,00:00,244.9000000,5078750
ROSN,D,11/21/13,00:00,242.2000000,6086370
ROSN,D,11/22/13,00:00,246.6600000,6940510
ROSN,D,11/25/13,00:00,244.6000000,5536750
ROSN,D,11/26/13,00:00,240.7700000,10922930
ROSN,D,11/27/13,00:00,237.5000000,9281320
ROSN,D,11/28/13,00:00,238.4300000,5951880
ROSN,D,11/29/13,00:00,238.4900000,8442470
ROSN,D,12/02/13,00:00,237.4000000,5119820
ROSN,D,12/03/13,00:00,233.5200000,9919910
ROSN,D,12/04/13,00:00,235.8000000,7185710
ROSN,D,12/05/13,00:00,232.3900000,6260660
ROSN,D,12/06/13,00:00,235.1600000,6894110
ROSN,D,12/09/13,00:00,236.0100000,6891560
ROSN,D,12/10/13,00:00,234.4000000,4945850
ROSN,D,12/11/13,00:00,234.0900000,4625520
ROSN,D,12/12/13,00:00,233.0000000,6521400
ROSN,D,12/13/13,00:00,232.2800000,5930270
ROSN,D,12/16/13,00:00,236.1000000,24609640
ROSN,D,12/17/13,00:00,236.8000000,7312370
ROSN,D,12/18/13,00:00,241.6600000,8684000
ROSN,D,12/19/13,00:00,244.5200000,16000530
ROSN,D,12/20/13,00:00,243.5800000,8861710
ROSN,D,12/23/13,00:00,248.2500000,8009290
ROSN,D,12/24/13,00:00,248.0100000,3659340
ROSN,D,12/25/13,00:00,248.6700000,2075230
ROSN,D,12/26/13,00:00,248.0000000,1657660
ROSN,D,12/27/13,00:00,247.9400000,2935960
ROSN,D,12/30/13,00:00,251.6000000,6589060
ROSN,D,01/06/14,00:00,243.0100000,3654070
ROSN,D,01/08/14,00:00,242.0000000,2653500
ROSN,D,01/09/14,00:00,241.9700000,5026470
ROSN,D,01/10/14,00:00,242.4300000,5665300
ROSN,D,01/13/14,00:00,240.7900000,5958970
ROSN,D,01/14/14,00:00,242.2400000,8481790
ROSN,D,01/15/14,00:00,246.3600000,9651940
ROSN,D,01/16/14,00:00,243.4700000,6158430
ROSN,D,01/17/14,00:00,248.7700000,12874080
ROSN,D,01/20/14,00:00,249.3200000,5610590
ROSN,D,01/21/14,00:00,250.3500000,5283050
ROSN,D,01/22/14,00:00,250.5200000,8149120
ROSN,D,01/23/14,00:00,248.6500000,7728180
ROSN,D,01/24/14,00:00,247.9100000,7049400
ROSN,D,01/27/14,00:00,246.6600000,5184980
ROSN,D,01/28/14,00:00,244.4000000,4879030
ROSN,D,01/29/14,00:00,245.0900000,7210250
ROSN,D,01/30/14,00:00,245.7500000,6280990
ROSN,D,01/31/14,00:00,245.0000000,5117610
ROSN,D,02/03/14,00:00,238.9600000,4705060
ROSN,D,02/04/14,00:00,242.8600000,7104460
ROSN,D,02/05/14,00:00,242.7000000,5101750
ROSN,D,02/06/14,00:00,244.4100000,4185630
ROSN,D,02/07/14,00:00,246.1000000,5519940
ROSN,D,02/10/14,00:00,247.2600000,3510700
ROSN,D,02/11/14,00:00,248.5900000,3371390
ROSN,D,02/12/14,00:00,248.3500000,3086780
ROSN,D,02/13/14,00:00,243.7500000,5590590
ROSN,D,02/14/14,00:00,247.1900000,3810040
ROSN,D,02/17/14,00:00,249.9000000,9796690
ROSN,D,02/18/14,00:00,250.1300000,8573800
ROSN,D,02/19/14,00:00,247.9400000,4380190
ROSN,D,02/20/14,00:00,246.6700000,3893330
ROSN,D,02/21/14,00:00,250.0000000,5381760
ROSN,D,02/24/14,00:00,249.1800000,2716890
ROSN,D,02/25/14,00:00,248.7800000,3292680
ROSN,D,02/26/14,00:00,246.9900000,3584000
ROSN,D,02/27/14,00:00,242.9000000,7694960
ROSN,D,02/28/14,00:00,243.9500000,5910990
ROSN,D,03/03/14,00:00,230.8800000,16315400
ROSN,D,03/04/14,00:00,237.9000000,8280200
ROSN,D,03/05/14,00:00,236.0000000,8308910
ROSN,D,03/06/14,00:00,235.6000000,8136640
ROSN,D,03/07/14,00:00,236.3800000,6146500
ROSN,D,03/11/14,00:00,229.5000000,5973360
ROSN,D,03/12/14,00:00,224.0000000,7177600
ROSN,D,03/13/14,00:00,224.8000000,6242470
ROSN,D,03/14/14,00:00,225.8100000,12059240
ROSN,D,03/17/14,00:00,228.0000000,13470610
ROSN,D,03/18/14,00:00,232.4400000,10035200
ROSN,D,03/19/14,00:00,231.4700000,6067420
ROSN,D,03/20/14,00:00,231.6800000,5833410
ROSN,D,03/21/14,00:00,231.2100000,10534900
ROSN,D,03/24/14,00:00,228.0500000,6378100
ROSN,D,03/25/14,00:00,232.0000000,5981640
ROSN,D,03/26/14,00:00,232.3100000,9311700
ROSN,D,03/27/14,00:00,232.6000000,4659650
ROSN,D,03/28/14,00:00,231.4000000,3664230
ROSN,D,03/31/14,00:00,234.5300000,3966350
ROSN,D,04/01/14,00:00,231.7000000,6396230
ROSN,D,04/02/14,00:00,233.0000000,3402560
ROSN,D,04/03/14,00:00,230.5000000,4015750
ROSN,D,04/04/14,00:00,232.4900000,4526490
ROSN,D,04/07/14,00:00,231.4200000,8327490
ROSN,D,04/08/14,00:00,229.9500000,8870390
ROSN,D,04/09/14,00:00,231.9900000,4237680
ROSN,D,04/10/14,00:00,234.5800000,3881540
ROSN,D,04/11/14,00:00,232.5200000,2483460
ROSN,D,04/14/14,00:00,233.8800000,3157380
ROSN,D,04/15/14,00:00,225.9500000,5376010
ROSN,D,04/16/14,00:00,225.5900000,8423850
ROSN,D,04/17/14,00:00,228.4500000,3872380
ROSN,D,04/18/14,00:00,231.7700000,4960220
ROSN,D,04/21/14,00:00,230.9000000,2684510
ROSN,D,04/22/14,00:00,230.0000000,5779500
ROSN,D,04/23/14,00:00,228.1700000,3065410
ROSN,D,04/24/14,00:00,225.9800000,4663060
ROSN,D,04/25/14,00:00,223.6200000,3390910
ROSN,D,04/28/14,00:00,219.8000000,8311310
ROSN,D,04/29/14,00:00,223.5100000,5570960
ROSN,D,04/30/14,00:00,222.6200000,7947690
ROSN,D,05/02/14,00:00,222.8000000,3208180
ROSN,D,05/05/14,00:00,220.9000000,2290270
ROSN,D,05/06/14,00:00,224.0500000,6392470
ROSN,D,05/07/14,00:00,229.0000000,7079390
ROSN,D,05/08/14,00:00,226.6700000,9398160
ROSN,D,05/12/14,00:00,229.5000000,10328190
ROSN,D,05/13/14,00:00,229.5000000,4654710
ROSN,D,05/14/14,00:00,229.9900000,3793410
ROSN,D,05/15/14,00:00,227.0000000,4432170
ROSN,D,05/16/14,00:00,227.2400000,3303080
ROSN,D,05/19/14,00:00,228.1000000,5573360
ROSN,D,05/20/14,00:00,229.8000000,11181770
ROSN,D,05/21/14,00:00,230.5600000,8588540
ROSN,D,05/22/14,00:00,230.0100000,3690840
ROSN,D,05/23/14,00:00,232.9000000,5820350
ROSN,D,05/26/14,00:00,233.7400000,2810950
ROSN,D,05/27/14,00:00,229.0000000,5558180
ROSN,D,05/28/14,00:00,229.1300000,3214810
ROSN,D,05/29/14,00:00,229.8100000,4828820
ROSN,D,05/30/14,00:00,226.0000000,3487100
ROSN,D,06/02/14,00:00,230.0000000,3948650
ROSN,D,06/03/14,00:00,231.3000000,4380620
ROSN,D,06/04/14,00:00,230.2500000,2779750
ROSN,D,06/05/14,00:00,229.5000000,3058430
ROSN,D,06/06/14,00:00,237.0000000,9521030
ROSN,D,06/09/14,00:00,240.3600000,6371750
ROSN,D,06/10/14,00:00,242.8000000,5042240
ROSN,D,06/11/14,00:00,249.6600000,12957650
ROSN,D,06/16/14,00:00,253.3000000,19171640
ROSN,D,06/17/14,00:00,251.5900000,7504160
ROSN,D,06/18/14,00:00,250.8700000,7890400
ROSN,D,06/19/14,00:00,249.8900000,8960070
ROSN,D,06/20/14,00:00,250.1100000,6941870
ROSN,D,06/23/14,00:00,252.3000000,4943030
ROSN,D,06/24/14,00:00,257.8100000,6899620
ROSN,D,06/25/14,00:00,250.0000000,6754270
ROSN,D,06/26/14,00:00,249.2400000,4644010
ROSN,D,06/27/14,00:00,249.4900000,4763360
ROSN,D,06/30/14,00:00,249.3000000,3772100
ROSN,D,07/01/14,00:00,250.1600000,2410710
ROSN,D,07/02/14,00:00,255.1900000,6027760
ROSN,D,07/03/14,00:00,257.7000000,5028280
ROSN,D,07/04/14,00:00,253.9000000,5425390
ROSN,D,07/07/14,00:00,248.9900000,6154310
ROSN,D,07/08/14,00:00,249.9900000,6999400
ROSN,D,07/09/14,00:00,247.9500000,4482240
ROSN,D,07/10/14,00:00,244.9500000,7532110
ROSN,D,07/11/14,00:00,246.0100000,4107770
ROSN,D,07/14/14,00:00,242.0000000,3308860
ROSN,D,07/15/14,00:00,241.9200000,5349410
ROSN,D,07/16/14,00:00,244.1800000,4088800
ROSN,D,07/17/14,00:00,233.7000000,10660700
ROSN,D,07/18/14,00:00,231.7500000,7845650
ROSN,D,07/21/14,00:00,225.9100000,5477810
ROSN,D,07/22/14,00:00,226.7600000,7342780
