<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
SNGSP,D,07/04/16,00:00,39.0050000,20427900
SNGSP,D,07/05/16,00:00,39.5400000,30033000
SNGSP,D,07/06/16,00:00,39.8500000,33670300
SNGSP,D,07/07/16,00:00,39.4900000,48740100
SNGSP,D,07/08/16,00:00,39.9500000,44817500
SNGSP,D,07/11/16,00:00,40.5000000,32625700
SNGSP,D,07/12/16,00:00,40.8800000,52663100
SNGSP,D,07/13/16,00:00,40.9900000,49191600
SNGSP,D,07/14/16,00:00,41.4000000,80799000
SNGSP,D,07/15/16,00:00,36.0000000,226624200
SNGSP,D,07/18/16,00:00,34.2000000,197104700
SNGSP,D,07/19/16,00:00,32.3000000,154750800
SNGSP,D,07/20/16,00:00,33.0200000,70389300
SNGSP,D,07/21/16,00:00,33.4750000,53021100
SNGSP,D,07/22/16,00:00,33.5000000,41822700
SNGSP,D,07/25/16,00:00,33.9600000,31652300
SNGSP,D,07/26/16,00:00,34.2000000,53249300
SNGSP,D,07/27/16,00:00,33.9100000,25778900
SNGSP,D,07/28/16,00:00,33.3100000,34718000
SNGSP,D,07/29/16,00:00,32.6000000,47273300
SNGSP,D,08/01/16,00:00,32.0000000,59907300
SNGSP,D,08/02/16,00:00,31.1950000,62462400
SNGSP,D,08/03/16,00:00,31.6000000,41924700
SNGSP,D,08/04/16,00:00,32.1000000,36646400
SNGSP,D,08/05/16,00:00,32.2200000,20817200
SNGSP,D,08/08/16,00:00,32.2700000,16601000
SNGSP,D,08/09/16,00:00,32.4900000,20201900
SNGSP,D,08/10/16,00:00,32.7000000,24574600
SNGSP,D,08/11/16,00:00,33.4450000,40635500
SNGSP,D,08/12/16,00:00,33.6200000,31011000
SNGSP,D,08/15/16,00:00,33.2500000,35580500
SNGSP,D,08/16/16,00:00,32.8850000,30129600
SNGSP,D,08/17/16,00:00,33.1450000,18644500
SNGSP,D,08/18/16,00:00,32.9600000,13990700
SNGSP,D,08/19/16,00:00,32.9500000,23867000
SNGSP,D,08/22/16,00:00,33.0500000,13692000
SNGSP,D,08/23/16,00:00,32.8550000,17050200
SNGSP,D,08/24/16,00:00,32.4000000,27664800
SNGSP,D,08/25/16,00:00,31.1600000,98106400
SNGSP,D,08/26/16,00:00,31.6200000,45503900
SNGSP,D,08/29/16,00:00,32.0800000,22101600
SNGSP,D,08/30/16,00:00,32.0250000,21684900
SNGSP,D,08/31/16,00:00,32.7400000,43043300
SNGSP,D,09/01/16,00:00,32.3550000,25178100
SNGSP,D,09/02/16,00:00,32.3350000,24644200
SNGSP,D,09/05/16,00:00,32.0050000,18912600
SNGSP,D,09/06/16,00:00,31.7100000,31592300
SNGSP,D,09/07/16,00:00,31.5800000,30348800
SNGSP,D,09/08/16,00:00,31.2200000,49043800
SNGSP,D,09/09/16,00:00,31.6900000,29260200
SNGSP,D,09/12/16,00:00,31.4950000,35110300
SNGSP,D,09/13/16,00:00,31.2500000,28295100
SNGSP,D,09/14/16,00:00,31.0050000,24643500
SNGSP,D,09/15/16,00:00,30.1400000,57181600
SNGSP,D,09/16/16,00:00,29.4200000,52434800
SNGSP,D,09/19/16,00:00,28.8400000,63280000
SNGSP,D,09/20/16,00:00,29.7350000,59162700
SNGSP,D,09/21/16,00:00,30.0000000,48109100
SNGSP,D,09/22/16,00:00,30.1200000,25646000
SNGSP,D,09/23/16,00:00,29.8250000,30021100
SNGSP,D,09/26/16,00:00,29.9000000,13883400
SNGSP,D,09/27/16,00:00,29.8100000,20116800
SNGSP,D,09/28/16,00:00,29.7700000,22661800
SNGSP,D,09/29/16,00:00,29.4600000,35565800
SNGSP,D,09/30/16,00:00,28.9950000,45405900
SNGSP,D,10/03/16,00:00,28.5350000,26871200
SNGSP,D,10/04/16,00:00,28.5850000,28120700
SNGSP,D,10/05/16,00:00,28.7800000,21350800
SNGSP,D,10/06/16,00:00,29.7000000,36287800
SNGSP,D,10/07/16,00:00,29.9900000,41176800
SNGSP,D,10/10/16,00:00,30.1300000,17490500
SNGSP,D,10/11/16,00:00,29.6950000,17029100
SNGSP,D,10/12/16,00:00,30.0950000,24578600
SNGSP,D,10/13/16,00:00,30.1950000,22336800
SNGSP,D,10/14/16,00:00,30.4950000,18105500
SNGSP,D,10/17/16,00:00,30.5400000,32433800
SNGSP,D,10/18/16,00:00,30.2400000,24033400
SNGSP,D,10/19/16,00:00,29.5500000,18224200
SNGSP,D,10/20/16,00:00,29.7000000,19275600
SNGSP,D,10/21/16,00:00,29.4250000,11097700
SNGSP,D,10/24/16,00:00,29.0000000,18365600
