<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
TATNP,D,12/27/11,00:00,88.7000000,118710
TATNP,D,12/28/11,00:00,88.5500000,464740
TATNP,D,12/29/11,00:00,88.0800000,595270
TATNP,D,12/30/11,00:00,88.0200000,473970
TATNP,D,01/03/12,00:00,92.4800000,223480
TATNP,D,01/04/12,00:00,92.0000000,73120
TATNP,D,01/05/12,00:00,91.9100000,147880
TATNP,D,01/06/12,00:00,91.8200000,17150
TATNP,D,01/09/12,00:00,92.1100000,11650
TATNP,D,01/10/12,00:00,92.1200000,354940
TATNP,D,01/11/12,00:00,91.3500000,924240
TATNP,D,01/12/12,00:00,92.0000000,337270
TATNP,D,01/13/12,00:00,92.4400000,186320
TATNP,D,01/16/12,00:00,92.5100000,28690
TATNP,D,01/17/12,00:00,94.8800000,381560
TATNP,D,01/18/12,00:00,96.7800000,511720
TATNP,D,01/19/12,00:00,96.2500000,219320
TATNP,D,01/20/12,00:00,96.4700000,198300
TATNP,D,01/23/12,00:00,96.1400000,146760
TATNP,D,01/24/12,00:00,97.1400000,132330
TATNP,D,01/25/12,00:00,98.0600000,672370
TATNP,D,01/26/12,00:00,98.8800000,446500
TATNP,D,01/27/12,00:00,99.2700000,331130
TATNP,D,01/30/12,00:00,98.0000000,106420
TATNP,D,01/31/12,00:00,99.0000000,172810
TATNP,D,02/01/12,00:00,99.4500000,1013870
TATNP,D,02/02/12,00:00,99.0000000,59450
TATNP,D,02/03/12,00:00,98.6700000,125720
TATNP,D,02/06/12,00:00,98.6100000,297890
TATNP,D,02/07/12,00:00,98.4400000,257580
TATNP,D,02/08/12,00:00,99.1000000,204540
TATNP,D,02/09/12,00:00,98.8000000,158350
TATNP,D,02/10/12,00:00,97.0000000,512630
TATNP,D,02/13/12,00:00,98.0000000,634190
TATNP,D,02/14/12,00:00,98.3900000,843710
TATNP,D,02/15/12,00:00,99.0900000,276920
TATNP,D,02/16/12,00:00,99.0000000,399670
TATNP,D,02/17/12,00:00,98.7000000,431670
TATNP,D,02/20/12,00:00,98.9900000,143760
TATNP,D,02/21/12,00:00,100.0000000,811290
TATNP,D,02/22/12,00:00,100.4100000,1067580
TATNP,D,02/24/12,00:00,101.8100000,451430
TATNP,D,02/27/12,00:00,101.9300000,539780
TATNP,D,02/28/12,00:00,101.5500000,829670
TATNP,D,02/29/12,00:00,103.3300000,349790
TATNP,D,03/01/12,00:00,102.4400000,50630
TATNP,D,03/02/12,00:00,102.0400000,155650
TATNP,D,03/05/12,00:00,102.5700000,195310
TATNP,D,03/06/12,00:00,100.8000000,578800
TATNP,D,03/07/12,00:00,101.3200000,288550
TATNP,D,03/11/12,00:00,102.5300000,110800
TATNP,D,03/12/12,00:00,102.4900000,108400
TATNP,D,03/13/12,00:00,102.7000000,389690
TATNP,D,03/14/12,00:00,103.5700000,475340
TATNP,D,03/15/12,00:00,104.5000000,557750
TATNP,D,03/16/12,00:00,104.6500000,263460
TATNP,D,03/19/12,00:00,103.2000000,382900
TATNP,D,03/20/12,00:00,101.5000000,623000
TATNP,D,03/21/12,00:00,101.2500000,1023530
TATNP,D,03/22/12,00:00,100.0300000,305510
TATNP,D,03/23/12,00:00,101.4800000,185640
TATNP,D,03/26/12,00:00,102.2900000,859290
TATNP,D,03/27/12,00:00,101.9500000,604330
TATNP,D,03/28/12,00:00,101.5300000,193690
TATNP,D,03/29/12,00:00,100.9900000,231530
TATNP,D,03/30/12,00:00,101.4000000,91050
TATNP,D,04/02/12,00:00,101.4300000,210820
TATNP,D,04/03/12,00:00,101.9500000,440340
TATNP,D,04/04/12,00:00,100.5300000,242170
TATNP,D,04/05/12,00:00,101.2500000,149220
TATNP,D,04/06/12,00:00,100.4600000,34890
TATNP,D,04/09/12,00:00,100.8000000,161250
TATNP,D,04/10/12,00:00,100.1000000,85460
TATNP,D,04/11/12,00:00,99.6000000,73400
TATNP,D,04/12/12,00:00,99.3000000,261380
TATNP,D,04/13/12,00:00,99.4900000,239430
TATNP,D,04/16/12,00:00,99.1800000,261590
TATNP,D,04/17/12,00:00,98.6000000,312080
TATNP,D,04/18/12,00:00,97.4400000,524660
TATNP,D,04/19/12,00:00,97.4000000,415580
TATNP,D,04/20/12,00:00,95.8600000,384640
TATNP,D,04/23/12,00:00,94.9000000,155940
TATNP,D,04/24/12,00:00,94.6000000,190180
TATNP,D,04/25/12,00:00,95.1500000,57960
TATNP,D,04/26/12,00:00,95.2000000,105700
TATNP,D,04/27/12,00:00,94.9800000,36010
TATNP,D,04/28/12,00:00,95.2300000,41890
TATNP,D,05/02/12,00:00,94.7500000,211240
TATNP,D,05/03/12,00:00,94.1500000,146730
TATNP,D,05/04/12,00:00,92.1500000,364400
TATNP,D,05/05/12,00:00,92.0200000,118120
TATNP,D,05/07/12,00:00,93.1500000,31050
TATNP,D,05/08/12,00:00,91.9800000,17320
TATNP,D,05/10/12,00:00,93.9100000,304570
TATNP,D,05/11/12,00:00,91.9000000,164360
TATNP,D,05/12/12,00:00,92.4900000,105540
TATNP,D,05/14/12,00:00,89.1000000,574130
TATNP,D,05/15/12,00:00,80.1900000,1372170
TATNP,D,05/16/12,00:00,77.9400000,394470
TATNP,D,05/17/12,00:00,76.0100000,343130
TATNP,D,05/18/12,00:00,74.0600000,557230
TATNP,D,05/21/12,00:00,74.9900000,351930
TATNP,D,05/22/12,00:00,75.6700000,146440
TATNP,D,05/23/12,00:00,74.6500000,869220
TATNP,D,05/24/12,00:00,76.9900000,163660
TATNP,D,05/25/12,00:00,78.9600000,110800
