<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
TRNFP,D,08/16/16,00:00,162700.0000000,1127
TRNFP,D,08/17/16,00:00,162900.0000000,920
TRNFP,D,08/18/16,00:00,161300.0000000,914
TRNFP,D,08/19/16,00:00,160300.0000000,863
TRNFP,D,08/22/16,00:00,160200.0000000,1094
TRNFP,D,08/23/16,00:00,160300.0000000,890
TRNFP,D,08/24/16,00:00,159000.0000000,853
TRNFP,D,08/25/16,00:00,158200.0000000,1201
TRNFP,D,08/26/16,00:00,158200.0000000,1246
TRNFP,D,08/29/16,00:00,155200.0000000,2196
TRNFP,D,08/30/16,00:00,153800.0000000,854
TRNFP,D,08/31/16,00:00,154900.0000000,2271
TRNFP,D,09/01/16,00:00,152800.0000000,1518
TRNFP,D,09/02/16,00:00,152500.0000000,1009
TRNFP,D,09/05/16,00:00,151000.0000000,1124
TRNFP,D,09/06/16,00:00,151800.0000000,2069
TRNFP,D,09/07/16,00:00,150800.0000000,810
TRNFP,D,09/08/16,00:00,151000.0000000,1157
TRNFP,D,09/09/16,00:00,147800.0000000,1431
TRNFP,D,09/12/16,00:00,153000.0000000,3650
TRNFP,D,09/13/16,00:00,149600.0000000,1645
TRNFP,D,09/14/16,00:00,148300.0000000,1504
TRNFP,D,09/15/16,00:00,147000.0000000,1920
TRNFP,D,09/16/16,00:00,143300.0000000,2618
TRNFP,D,09/19/16,00:00,142000.0000000,1607
TRNFP,D,09/20/16,00:00,140300.0000000,2001
TRNFP,D,09/21/16,00:00,139500.0000000,788
TRNFP,D,09/22/16,00:00,137300.0000000,4636
TRNFP,D,09/23/16,00:00,138700.0000000,1676
TRNFP,D,09/26/16,00:00,137500.0000000,1447
TRNFP,D,09/27/16,00:00,137400.0000000,1520
TRNFP,D,09/28/16,00:00,139100.0000000,1394
TRNFP,D,09/29/16,00:00,139300.0000000,1051
TRNFP,D,09/30/16,00:00,135100.0000000,2201
TRNFP,D,10/03/16,00:00,134500.0000000,1457
TRNFP,D,10/04/16,00:00,137300.0000000,2359
TRNFP,D,10/05/16,00:00,135500.0000000,3050
TRNFP,D,10/06/16,00:00,137000.0000000,835
TRNFP,D,10/07/16,00:00,136200.0000000,1469
TRNFP,D,10/10/16,00:00,137400.0000000,1054
TRNFP,D,10/11/16,00:00,135900.0000000,1728
TRNFP,D,10/12/16,00:00,143000.0000000,4171
TRNFP,D,10/13/16,00:00,145900.0000000,5463
TRNFP,D,10/14/16,00:00,142200.0000000,2055
TRNFP,D,10/17/16,00:00,143600.0000000,2163
TRNFP,D,10/18/16,00:00,140600.0000000,1714
TRNFP,D,10/19/16,00:00,141700.0000000,1326
TRNFP,D,10/20/16,00:00,140000.0000000,904
TRNFP,D,10/21/16,00:00,138300.0000000,790
TRNFP,D,10/24/16,00:00,144000.0000000,3438
TRNFP,D,10/25/16,00:00,149700.0000000,4728
TRNFP,D,10/26/16,00:00,154500.0000000,2547
TRNFP,D,10/27/16,00:00,163000.0000000,3505
TRNFP,D,10/28/16,00:00,158300.0000000,5379
TRNFP,D,10/31/16,00:00,152000.0000000,2707
TRNFP,D,11/01/16,00:00,153150.0000000,2010
TRNFP,D,11/02/16,00:00,156300.0000000,4106
TRNFP,D,11/03/16,00:00,162700.0000000,3878
TRNFP,D,11/07/16,00:00,163100.0000000,2517
TRNFP,D,11/08/16,00:00,165900.0000000,1718
TRNFP,D,11/09/16,00:00,170750.0000000,3114
TRNFP,D,11/10/16,00:00,165000.0000000,4527
TRNFP,D,11/11/16,00:00,158600.0000000,2334
TRNFP,D,11/14/16,00:00,157150.0000000,2767
TRNFP,D,11/15/16,00:00,154200.0000000,2086
TRNFP,D,11/16/16,00:00,161100.0000000,2284
TRNFP,D,11/17/16,00:00,159750.0000000,2369
TRNFP,D,11/18/16,00:00,159000.0000000,1297
TRNFP,D,11/21/16,00:00,159500.0000000,2347
TRNFP,D,11/22/16,00:00,158150.0000000,1132
TRNFP,D,11/23/16,00:00,166000.0000000,2606
TRNFP,D,11/24/16,00:00,166450.0000000,1548
TRNFP,D,11/25/16,00:00,167000.0000000,1476
TRNFP,D,11/28/16,00:00,172950.0000000,2110
TRNFP,D,11/29/16,00:00,171150.0000000,3095
TRNFP,D,11/30/16,00:00,177800.0000000,4590
TRNFP,D,12/01/16,00:00,188750.0000000,6300
TRNFP,D,12/02/16,00:00,187200.0000000,6069
TRNFP,D,12/05/16,00:00,185600.0000000,3400
TRNFP,D,12/06/16,00:00,188950.0000000,3454
TRNFP,D,12/07/16,00:00,188750.0000000,2947
TRNFP,D,12/08/16,00:00,205200.0000000,4756
TRNFP,D,12/09/16,00:00,204700.0000000,5174
TRNFP,D,12/12/16,00:00,202500.0000000,4491
TRNFP,D,12/13/16,00:00,203250.0000000,5789
TRNFP,D,12/14/16,00:00,199550.0000000,2840
TRNFP,D,12/15/16,00:00,201450.0000000,7029
TRNFP,D,12/16/16,00:00,202250.0000000,5959
TRNFP,D,12/19/16,00:00,204050.0000000,3388
TRNFP,D,12/20/16,00:00,201500.0000000,1514
TRNFP,D,12/21/16,00:00,197500.0000000,1789
TRNFP,D,12/22/16,00:00,191400.0000000,2517
TRNFP,D,12/23/16,00:00,195750.0000000,2177
TRNFP,D,12/26/16,00:00,196300.0000000,317
TRNFP,D,12/27/16,00:00,199150.0000000,937
TRNFP,D,12/28/16,00:00,202600.0000000,2486
TRNFP,D,12/29/16,00:00,198500.0000000,1900
TRNFP,D,12/30/16,00:00,197950.0000000,984
TRNFP,D,01/03/17,00:00,204100.0000000,2815
TRNFP,D,01/04/17,00:00,207700.0000000,3504
TRNFP,D,01/05/17,00:00,203900.0000000,2699
TRNFP,D,01/06/17,00:00,202500.0000000,1695
TRNFP,D,01/09/17,00:00,203450.0000000,1119
TRNFP,D,01/10/17,00:00,206700.0000000,2260
TRNFP,D,01/11/17,00:00,210600.0000000,2511
TRNFP,D,01/12/17,00:00,221000.0000000,4494
TRNFP,D,01/13/17,00:00,221450.0000000,2999
TRNFP,D,01/16/17,00:00,222500.0000000,1466
TRNFP,D,01/17/17,00:00,217500.0000000,1307
TRNFP,D,01/18/17,00:00,208100.0000000,2529
TRNFP,D,01/19/17,00:00,202850.0000000,3711
TRNFP,D,01/20/17,00:00,203700.0000000,1573
TRNFP,D,01/23/17,00:00,194700.0000000,2196
TRNFP,D,01/24/17,00:00,202600.0000000,2273
TRNFP,D,01/25/17,00:00,209850.0000000,2329
TRNFP,D,01/26/17,00:00,207000.0000000,2751
TRNFP,D,01/27/17,00:00,211200.0000000,3443
TRNFP,D,01/30/17,00:00,210700.0000000,1404
TRNFP,D,01/31/17,00:00,204250.0000000,1745
TRNFP,D,02/01/17,00:00,210550.0000000,1785
TRNFP,D,02/02/17,00:00,206000.0000000,2142
TRNFP,D,02/03/17,00:00,203600.0000000,2954
TRNFP,D,02/06/17,00:00,199000.0000000,1997
TRNFP,D,02/07/17,00:00,201500.0000000,1328
TRNFP,D,02/08/17,00:00,187400.0000000,5307
TRNFP,D,02/09/17,00:00,189100.0000000,3311
TRNFP,D,02/10/17,00:00,189100.0000000,1963
TRNFP,D,02/13/17,00:00,186400.0000000,1482
TRNFP,D,02/14/17,00:00,190750.0000000,1520
TRNFP,D,02/15/17,00:00,190500.0000000,1799
TRNFP,D,02/16/17,00:00,190800.0000000,1281
TRNFP,D,02/17/17,00:00,188750.0000000,1669
TRNFP,D,02/20/17,00:00,185950.0000000,1295
